leg[0].L,leg[1].L,leg[0].wbr_theta,leg[1].wbr_theta,MatLQR_K[0][0],MatLQR_K[0][1],MatLQR_K[0][2],MatLQR_K[0][3],MatLQR_K[0][4],MatLQR_K[0][5],MatLQR_K[0][6],MatLQR_K[0][7],MatLQR_K[0][8],MatLQR_K[0][9],MatLQR_K[1][0],Timestamp,MatLQR_K[1][1],Timestamp,MatLQR_K[1][2],Timestamp,MatLQR_K[1][3],Timestamp,MatLQR_K[1][4],Timestamp,MatLQR_K[1][5],Timestamp,MatLQR_K[1][6],Timestamp,MatLQR_K[1][7],Timestamp,MatLQR_K[1][8],Timestamp,MatLQR_K[1][9],Timestamp,MatLQR_K[2][0],Timestamp,MatLQR_K[2][1],Timestamp,MatLQR_K[2][2],Timestamp,MatLQR_K[2][3],Timestamp,MatLQR_K[2][4],Timestamp,MatLQR_K[2][5],Timestamp,MatLQR_K[2][6],Timestamp,MatLQR_K[2][7],Timestamp,MatLQR_K[2][8],Timestamp,MatLQR_K[2][9],Timestamp,MatLQR_K[3][0],Timestamp,MatLQR_K[3][1],Timestamp,MatLQR_K[3][2],Timestamp,MatLQR_K[3][3],Timestamp,MatLQR_K[3][4],Timestamp,MatLQR_K[3][5],Timestamp,MatLQR_K[3][6],Timestamp,MatLQR_K[3][7],Timestamp,MatLQR_K[3][8],Timestamp,MatLQR_K[3][9]
0.334173,0.329496,-0.64438,-0.641901,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207492060,-10.8715,208262524,58.0874,209076669,7.99476,210023115,-5.02777,210891943,-1.1814,211711672,-73.7949,212544146,-5.62189,213299989,-10.7448,214232192,-2.4247,264905022,0.00355572,265901187,0.0223196,266701340,-58.6298,268298144,-11.1011,269488655,14.2299,270748791,0.582513,271881786,-12.7062,273176542,-0.725691,274377608,-83.7167,275587263,-4.59731,282145868,0.00134812,283397047,0.00509453,284712629,58.667,286083357,11.1064,287314871,-12.7905,288592870,-0.734455,289899352,14.1679,291197953,0.575256,292670689,-83.6569,294086988,-4.59351
0.334173,0.329496,-0.644418,-0.641915,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207559809,-10.8715,208335047,58.0874,209154857,7.99476,210094447,-5.02777,210973795,-1.1814,211796005,-73.7949,212620764,-5.62189,213388198,-10.7448,214323990,-2.4247,265003268,0.00355572,265999657,0.0223196,266802203,-58.6298,268394248,-11.1011,269583852,14.2299,270859304,0.582513,271995802,-12.7062,273289168,-0.725691,274493975,-83.7167,275707220,-4.59731,282269633,0.00134812,283517444,0.00509453,284839294,58.667,286211263,11.1064,287445668,-12.7905,288725131,-0.734455,290038506,14.1679,291340252,0.575256,292825799,-83.6569,294232746,-4.59351
0.334173,0.329496,-0.644448,-0.641941,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207616675,-10.8715,208404561,58.0874,209224884,7.99476,210158259,-5.02777,211043746,-1.1814,211865779,-73.7949,212701301,-5.62189,213458681,-10.7448,214410769,-2.4247,265086560,0.00355572,266084131,0.0223196,266889066,-58.6298,268476719,-11.1011,269688167,14.2299,270962720,0.582513,272094778,-12.7062,273386758,-0.725691,274595140,-83.7167,275808265,-4.59731,282386057,0.00134812,283634087,0.00509453,284958501,58.667,286330387,11.1064,287562509,-12.7905,288846164,-0.734455,290172846,14.1679,291472440,0.575256,292958615,-83.6569,294364870,-4.59351
0.334173,0.329496,-0.644445,-0.641951,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207668515,-10.8715,208467554,58.0874,209304315,7.99476,210237026,-5.02777,211122353,-1.1814,211942556,-73.7949,212776595,-5.62189,213539282,-10.7448,214506313,-2.4247,265180927,0.00355572,266179513,0.0223196,266981422,-58.6298,268575930,-11.1011,269789928,14.2299,271071890,0.582513,272205389,-12.7062,273498925,-0.725691,274703569,-83.7167,275917545,-4.59731,282496391,0.00134812,283757813,0.00509453,285080953,58.667,286454562,11.1064,287684613,-12.7905,288976869,-0.734455,290295336,14.1679,291609836,0.575256,293096486,-83.6569,294507692,-4.59351
0.334173,0.329496,-0.644429,-0.64192,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207741607,-10.8715,208530627,58.0874,209383012,7.99476,210315717,-5.02777,211203249,-1.1814,212023456,-73.7949,212860171,-5.62189,213616728,-10.7448,214600533,-2.4247,265278562,0.00355572,266701340,0.0223196,267075990,-58.6298,268671939,-11.1011,269881954,14.2299,271180773,0.582513,272312767,-12.7062,273609711,-0.725691,274813569,-83.7167,276029209,-4.59731,282607278,0.00134812,283870452,0.00509453,285208086,58.667,286586335,11.1064,287823951,-12.7905,289112881,-0.734455,290425858,14.1679,291737522,0.575256,293244530,-83.6569,294650214,-4.59351
0.334173,0.329496,-0.644442,-0.64197,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207804539,-10.8715,208593667,58.0874,209462310,7.99476,210392540,-5.02777,211280045,-1.1814,212103304,-73.7949,213299989,-5.62189,213696700,-10.7448,214693154,-2.4247,265371691,0.00355572,266802203,0.0223196,267171868,-58.6298,268760529,-11.1011,269975973,14.2299,271289520,0.582513,272426204,-12.7062,273723461,-0.725691,274924571,-83.7167,276140592,-4.59731,282716593,0.00134812,283983741,0.00509453,285335065,58.667,287314871,11.1064,288592870,-12.7905,289899352,-0.734455,291197953,14.1679,291862491,0.575256,294086988,-83.6569,294791873,-4.59351
0.334173,0.329496,-0.644439,-0.641959,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207871303,-10.8715,208657449,58.0874,209541161,7.99476,210474151,-5.02777,211711672,-1.1814,212544146,-73.7949,213388198,-5.62189,213776340,-10.7448,214789565,-2.4247,265901187,0.00355572,266889066,0.0223196,267267807,-58.6298,268855374,-11.1011,270070639,14.2299,271881786,0.582513,272536716,-12.7062,274377608,-0.725691,275587263,-83.7167,276252264,-4.59731,283397047,0.00134812,284712629,0.00509453,286083357,58.667,287445668,11.1064,288725131,-12.7905,290038506,-0.734455,291340252,14.1679,292670689,0.575256,294232746,-83.6569,294932394,-4.59351
0.334173,0.329496,-0.644444,-0.641941,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,207929053,-10.8715,208718729,58.0874,209618772,7.99476,210891943,-5.02777,211796005,-1.1814,212620764,-73.7949,213458681,-5.62189,214232192,-10.7448,214881520,-2.4247,265999657,0.00355572,266981422,0.0223196,267360791,-58.6298,268953435,-11.1011,270170587,14.2299,271995802,0.582513,273176542,-12.7062,274493975,-0.725691,275707220,-83.7167,276361714,-4.59731,283517444,0.00134812,284839294,0.00509453,286211263,58.667,287562509,11.1064,288846164,-12.7905,290172846,-0.734455,291472440,14.1679,292825799,0.575256,294364870,-83.6569,295159610,-4.59351
0.334173,0.329496,-0.644501,-0.642015,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,208262524,-10.8715,209076669,58.0874,210023115,7.99476,210973795,-5.02777,211865779,-1.1814,212701301,-73.7949,213539282,-5.62189,214323990,-10.7448,214974885,-2.4247,266084131,0.00355572,267075990,0.0223196,267457225,-58.6298,269488655,-11.1011,270748791,14.2299,272094778,0.582513,273289168,-12.7062,274595140,-0.725691,275808265,-83.7167,276471013,-4.59731,283634087,0.00134812,284958501,0.00509453,286330387,58.667,287684613,11.1064,288976869,-12.7905,290295336,-0.734455,291609836,14.1679,292958615,0.575256,294507692,-83.6569,295307636,-4.59351
0.334173,0.329496,-0.644564,-0.64205,-1.41423,-10.8429,-57.6584,-7.94542,-73.7237,-5.59192,-5.07535,-1.18803,-10.8704,-2.43262,-1.4184,208335047,-10.8715,209154857,58.0874,210094447,7.99476,211043746,-5.02777,211942556,-1.1814,212776595,-73.7949,213616728,-5.62189,214410769,-10.7448,215054260,-2.4247,266179513,0.00355572,267171868,0.0223196,267549118,-58.6298,269583852,-11.1011,270859304,14.2299,272205389,0.582513,273386758,-12.7062,274703569,-0.725691,275917545,-83.7167,276580727,-4.59731,283757813,0.00134812,285080953,0.00509453,286454562,58.667,287823951,11.1064,289112881,-12.7905,290425858,-0.734455,291737522,14.1679,293096486,0.575256,294650214,-83.6569,295463316,-4.59351
